FID,the_geom,X_MIN,X_MAX,Y_MIN,Y_MAX,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
meses.11,"MULTIPOLYGON (((-63.58765785769944 -21.988537272499993, -63.54572859599944 -21.988537272499993, -63.54572859599944 -22.03053472699999, -63.58765785769944 -22.03053472699999, -63.58765785769944 -21.988537272499993)))",-63.58765786,-63.5457286,-22.03053473,-21.98853727,81.95379,160.67441,152.56236,177.55544,165.13995,169.26739,869,187.20006,132.58616,106.2607,121.40341,156.35159
meses.12,"MULTIPOLYGON (((-63.54572859599944 -21.988537272499993, -63.503799334299444 -21.988537272499993, -63.503799334299444 -22.03053472699999, -63.54572859599944 -22.03053472699999, -63.54572859599944 -21.988537272499993)))",-63.5457286,-63.50379933,-22.03053473,-21.98853727,82.01483,160.6011,152.42031,177.65717,164.96799,169.57239,870,187.04358,132.48969,106.02071,121.55429,156.11136
meses.13,"MULTIPOLYGON (((-63.503799334299444 -21.988537272499993, -63.461870072599446 -21.988537272499993, -63.461870072599446 -22.03053472699999, -63.503799334299444 -22.03053472699999, -63.503799334299444 -21.988537272499993)))",-63.50379933,-63.46187007,-22.03053473,-21.98853727,81.86292,160.88071,152.58354,177.76707,164.90161,169.63804,871,186.55205,132.17231,105.98295,121.36666,155.2837
meses.14,"MULTIPOLYGON (((-63.461870072599446 -21.988537272499993, -63.41994081089945 -21.988537272499993, -63.41994081089945 -22.03053472699999, -63.461870072599446 -22.03053472699999, -63.461870072599446 -21.988537272499993)))",-63.46187007,-63.41994081,-22.03053473,-21.98853727,81.85864,160.74486,152.46966,177.6205,164.49779,169.52661,872,186.62952,132.1313,105.94171,121.25594,155.2223
meses.15,"MULTIPOLYGON (((-63.41994081089945 -21.988537272499993, -63.37801154919945 -21.988537272499993, -63.37801154919945 -22.03053472699999, -63.41994081089945 -22.03053472699999, -63.41994081089945 -21.988537272499993)))",-63.41994081,-63.37801155,-22.03053473,-21.98853727,81.75749,160.79204,152.47447,177.59503,164.27162,169.67072,873,186.30878,132.07485,105.8161,120.85772,154.78332
meses.16,"MULTIPOLYGON (((-63.37801154919945 -21.988537272499993, -63.33608228749945 -21.988537272499993, -63.33608228749945 -22.03053472699999, -63.37801154919945 -22.03053472699999, -63.37801154919945 -21.988537272499993)))",-63.37801155,-63.33608229,-22.03053473,-21.98853727,81.91289,161.02696,152.94084,178.25581,164.42242,170.21011,874,187.29225,132.13454,105.91112,120.83721,154.75696
meses.17,"MULTIPOLYGON (((-63.33608228749945 -21.988537272499993, -63.29415302579945 -21.988537272499993, -63.29415302579945 -22.03053472699999, -63.33608228749945 -22.03053472699999, -63.33608228749945 -21.988537272499993)))",-63.33608229,-63.29415303,-22.03053473,-21.98853727,81.64527,161.02197,152.78273,178.11011,164.27663,170.32991,875,187.37854,131.97484,105.87892,120.64787,154.61185
meses.18,"MULTIPOLYGON (((-63.29415302579945 -21.988537272499993, -63.252223764099455 -21.988537272499993, -63.252223764099455 -22.03053472699999, -63.29415302579945 -22.03053472699999, -63.29415302579945 -21.988537272499993)))",-63.29415303,-63.25222376,-22.03053473,-21.98853727,81.34366,160.49573,152.57041,177.47446,163.92957,169.61859,876,187.52545,131.53258,105.45363,121.087,155.09865
meses.19,"MULTIPOLYGON (((-63.252223764099455 -21.988537272499993, -63.21029450239946 -21.988537272499993, -63.21029450239946 -22.03053472699999, -63.252223764099455 -22.03053472699999, -63.252223764099455 -21.988537272499993)))",-63.25222376,-63.2102945,-22.03053473,-21.98853727,81.04972,160.65495,152.46862,177.31165,164.15028,169.26639,877,187.82909,131.43715,105.33403,121.37999,155.22609
meses.20,"MULTIPOLYGON (((-63.21029450239946 -21.988537272499993, -63.16836524069946 -21.988537272499993, -63.16836524069946 -22.03053472699999, -63.21029450239946 -22.03053472699999, -63.21029450239946 -21.988537272499993)))",-63.2102945,-63.16836524,-22.03053473,-21.98853727,80.17469,160.69177,152.27499,177.17241,164.38602,167.87369,878,187.66318,130.89322,104.73739,121.83066,156.10036
meses.21,"MULTIPOLYGON (((-63.16836524069946 -21.988537272499993, -63.12643597899946 -21.988537272499993, -63.12643597899946 -22.03053472699999, -63.16836524069946 -22.03053472699999, -63.16836524069946 -21.988537272499993)))",-63.16836524,-63.12643598,-22.03053473,-21.98853727,80.17469,160.70312,152.27499,177.14003,164.54118,167.88055,879,187.66302,130.89322,104.73739,121.83066,156.10036
